content_no,push_type,delivery_scene,source_image,bucket,endpoint,object_key,object_url,access,size_bytes,width,height,sha256,status,note
PM-1900-01,greeting,GREETING_1900,图片和附件/image 85.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1900-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1900-01/v1.png,private-signed-url,2734265,1254,1254,f5d9ae1a3f1a95b30f8944cf0da2fe7e74c6c5e37abb172b92d0f1ae14e05ae1,UPLOADED_VERIFIED_PRIVATE,
PM-1900-02,greeting,GREETING_1900,图片和附件/image 1.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1900-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1900-02/v1.png,private-signed-url,2508511,1254,1254,04dba4befce51202d17b07692631ee056f584283013c3414aa8be7abeca24f83,UPLOADED_VERIFIED_PRIVATE,
PM-1900-03,greeting,GREETING_1900,图片和附件/image 87.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1900-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1900-03/v1.png,private-signed-url,2855891,1254,1254,01d1fa75f6a2ace9f5d72c23c1a3371a6b5c6ce534ec49f5fe57be539a69b6a8,UPLOADED_VERIFIED_PRIVATE,
PM-1930-01,greeting,GREETING_1930,图片和附件/image 71.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1930-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1930-01/v1.png,private-signed-url,2635496,1254,1254,09e832ce73eb394640a53b4a4f2b553b085ed83a39c8e5485b122e157ae872a2,UPLOADED_VERIFIED_PRIVATE,
PM-1930-02,greeting,GREETING_1930,图片和附件/image 50.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1930-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1930-02/v1.png,private-signed-url,2693532,1254,1254,e6c98509baabec481a7b9dcefee28ba2be83bd17071e8172393b0e985ba72ed8,UPLOADED_VERIFIED_PRIVATE,
PM-1930-03,greeting,GREETING_1930,图片和附件/image 54.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1930-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1930-03/v1.png,private-signed-url,2737148,1254,1254,9acd9990f2a3783c1321e300b6ca9951698fb7ceda381952ec99b2cf569e7209,UPLOADED_VERIFIED_PRIVATE,
PM-2000-01,greeting,GREETING_2000,图片和附件/image 79.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-2000-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-2000-01/v1.png,private-signed-url,2650132,1254,1254,5564deb0e4ca0f8aa9d551572439c86622f818fec8ef7d8bb837d3ae30a93dfc,UPLOADED_VERIFIED_PRIVATE,
PM-2000-02,greeting,GREETING_2000,图片和附件/image 94.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-2000-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-2000-02/v1.png,private-signed-url,2765826,1254,1254,6c024ac5852a986e116de4f1b457ec0152dd0a8bde7f0a57207c0cb3c67d31f2,UPLOADED_VERIFIED_PRIVATE,
PM-2000-03,greeting,GREETING_2000,图片和附件/image 14.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-2000-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-2000-03/v1.png,private-signed-url,2963218,1254,1254,9ae46d96c5038809d58be735f81bec0f2edbee57324c176729be7b9ca71be425,UPLOADED_VERIFIED_PRIVATE,
PM-2030-01,greeting,GREETING_2030,图片和附件/image 68.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-2030-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-2030-01/v1.png,private-signed-url,2929340,1254,1254,114fc2b21cd97cb8551d4e5d0100834fc3b8d519c95daa2f17e1b80dc89edce5,UPLOADED_VERIFIED_PRIVATE,
PM-2030-02,greeting,GREETING_2030,图片和附件/image 77.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-2030-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-2030-02/v1.png,private-signed-url,2977114,1254,1254,336b947ce1aa4f2ea330e99da2853f127b503ffc4d246c944963739a81e127ca,UPLOADED_VERIFIED_PRIVATE,
PM-2030-03,greeting,GREETING_2030,图片和附件/image 102.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-2030-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-2030-03/v1.png,private-signed-url,2832108,1254,1254,6e5e85de9aaf46213ac126a242a0c1e7f07b4498576910b538543cd9383304de,UPLOADED_VERIFIED_PRIVATE,
PM-2100-01,greeting,GREETING_2100,图片和附件/image 36.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-2100-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-2100-01/v1.png,private-signed-url,2727441,1254,1254,c816d88313ece9a8aa2c1f5be99923a816d5e2d2fbaea9420ab38f39ba91acdb,UPLOADED_VERIFIED_PRIVATE,
